sampno,chhwgt,cexphhwgt,hctfip
7020385,1.118960441,250.5981738,81
7020390,0.739597716,165.6375242,81
7020453,1.401595359,313.8960278,81
7020457,0.544175104,121.8714107,81
7020499,0.716409292,160.4443318,81
7020523,0.774490548,173.4519916,81
7020622,0.845639826,189.3863165,81
7020745,0.897711396,201.0480695,81
7020760,1.272062528,284.8863418,81
7020805,2.494827981,558.732296,81
7020873,0.946587494,211.9941767,81
7020908,0.774490548,173.4519916,81
7021758,0.258188318,65.72478549,19
7024490,0.539906508,211.3832803,37
7024514,0.386632879,151.3738492,37
7024702,1.232821272,482.6720935,37
7024730,0.293105288,114.7560855,37
7025068,0.767871886,300.6358986,37
7025156,1.434382419,561.586972,37
