sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
2658298,2,1,7,7,0,0,0,0
2661241,1,1,0,0,0,0,0,0
2661241,2,1,0,0,0,0,0,0
2662005,1,1,7,4,3,0,3,3
2665232,1,1,4,3,1,0,1,1
2697790,1,1,8,8,0,0,0,0
2697790,2,1,6,4,2,0,2,2
2718575,1,1,0,0,0,0,0,0
2720349,1,1,0,0,0,0,0,0
2720349,2,1,0,0,0,0,0,0
2720349,3,1,0,0,0,0,0,0
2741339,1,1,5,5,0,0,0,0
2741339,2,1,3,3,0,0,0,0
2758999,1,1,5,4,1,0,1,1
2758999,2,1,0,0,0,0,0,0
2759536,1,1,2,2,0,0,0,0
2759536,3,1,5,5,0,0,0,0
